公司中文名称,年份,"流动资产周转率
[报告期] 2014年报
[单位] 次","应收账款周转率
[报告期] 2014年报
[单位] 次","财务费用
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","产权比率
[报告期] 2014年报","流动比率
[报告期] 2014年报","速动比率
[报告期] 2014年报","现金比率
[报告期] 2014年报","经营活动现金净流量(TTM)
[报告期] 2014年报
[单位] 元","流动负债合计
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2014年报
[单位] %","利润总额(TTM)
[报告期] 2014年报
[单位] 元","非流动负债合计
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2014年报
[单位] 元","长期资本负债率
[报告期] 2014年报
[单位] %","现金流量利息保障倍数
[报告期] 2014年报","负债合计
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2014年报
[单位] %","总资产报酬率ROA
[报告期] 2014年报
[单位] %","主营业务成本
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2014年报
[单位] %","存货周转率
[报告期] 2014年报
[单位] 次","营运资本周转率
[报告期] 2014年报
[单位] 次","非流动资产周转率
[报告期] 2014年报
[单位] 次","总资产周转率
[报告期] 2014年报
[单位] 次","成本费用利润率
[报告期] 2014年报
[单位] %","营业收入(同比增长率)
[报告期] 2014年报
[单位] %","总资产(同比增长率)
[报告期] 2014年报
[单位] %","大股东持股比例
[日期] 2014-12-31
[大股东排名] 第1名
[单位] %","无形资产
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2014年报
[单位] 元"
重庆秦安机电股份有限公司,2014,1.5266,7.2711,"25,634,528.60","1,033,151,990.76",0.8834,0.8417,0.5178,0.2721,"163,256,394.49","869,895,627.02",46.9056,"246,761,571.91",,"984,670,199.01","25,204,383.73",,6.1818,"869,895,627.02",23.8843,16.7395,"683,814,532.25","4,971,428.62",21.3153,2.8182,,1.0899,0.6359,26.7486,7.7786,32.9612,91.1528,"34,434,325.15","1,854,565,826.03","209,884,957.85"
重庆小康工业集团股份有限公司,2014,1.677,60.6665,"79,379,997.88","9,418,078,375.22",3.0181,0.7778,0.6702,0.6206,"396,283,875.10","7,553,707,237.88",75.1124,"416,372,165.92","685,131,786.83","2,729,847,404.95","77,308,113.05",24.2102,3.4936,"8,238,839,024.71",4.421,4.6708,"7,523,390,379.95","202,474,951.14",14.009,8.8118,,1.9013,0.8911,3.7925,13.6433,7.8507,,"1,391,380,445.06","10,968,686,429.66","336,411,637.54"
上海汽车集团股份有限公司,2014,2.6853,31.3824,"-164,598,681.79","626,712,394,486.86",1.2426,1.1856,0.9917,0.5966,"23,283,810,974.30","199,931,510,830.53",55.408,"42,688,795,192.84","29,940,085,636.41","184,999,077,014.91","-290,731,723.03",15.9592,34.7944,"229,871,596,466.94",6.776,10.754,"549,236,025,914.00","3,757,210,874.15",17.7424,15.7644,15.1888,3.9463,1.598,6.2866,11.2483,11.0346,74.3,"6,477,803,607.25","414,870,673,481.85","38,250,773,022.04"
宁波拓普集团股份有限公司,2014,2.2155,5.4801,"3,247,157.71","2,736,861,660.87",0.691,1.2464,0.7348,0.1529,"458,807,959.78","1,036,707,024.44",40.8638,"464,316,502.32",,"1,500,271,832.23","2,052,663.84",,190.6259,"1,036,707,024.44",16.9653,20.0302,"1,929,117,716.78","13,478,536.70",27.0439,3.9266,7.0517,2.504,1.1755,17.3905,18.5418,19.6866,92,"121,407,532.63","2,536,978,856.67","399,752,784.20"
桂林福达股份有限公司,2014,1.0872,3.5093,"85,117,558.43","1,201,556,235.03",1.8726,0.7665,0.5658,0.2369,"148,956,408.90","1,464,497,904.77",65.188,"124,680,737.37","449,115,275.47","1,021,916,506.73","82,081,971.36",30.5306,1.7326,"1,913,613,180.24",10.3766,7.2762,"854,038,900.83","3,627,840.04",10.6952,3.0995,,0.6919,0.4228,9.9534,-2.2467,6.8333,77.97,"117,077,379.75","2,935,529,686.97","109,296,198.50"
东风电子科技股份有限公司,2014,2.4068,5.5189,"18,342,678.25","4,901,614,600.42",1.9352,0.9425,0.7975,0.3616,"362,085,170.33","2,755,123,158.48",65.9305,"455,246,128.81","42,499,379.60","1,445,670,211.43","17,086,065.88",4.1209,15.0896,"2,797,622,538.08",9.2877,13.7305,"3,889,961,685.63","22,520,201.09",20.523,11.6946,,3.4925,1.4249,8.2681,59.0041,60.9277,65,"145,758,531.99","4,243,292,749.51","381,552,353.56"
中国重汽集团济南卡车股份有限公司,2014,1.7525,8.1355,"131,613,815.57","23,865,956,537.40",2.3959,1.3356,1.0932,0.7532,"47,332,552.27","10,642,433,232.12",70.553,"789,858,253.29","1,136,823,872.20","4,916,362,742.92","130,153,870.00",20.5127,0.2221,"11,779,257,104.32",3.3096,5.6713,"21,516,523,560.05","78,566,146.57",9.7907,6.6767,7.1945,9.1666,1.4712,2.5019,11.245,6.0134,63.78,"396,366,775.96","16,695,619,847.24","574,167,487.71"
中国汽车工程研究院股份有限公司,2014,0.6778,6.6465,"-36,328,121.72","1,568,891,927.34",0.1592,5.3828,4.9803,2.899,"86,113,466.71","436,016,991.11",13.7359,"494,742,540.21","135,015,507.58","3,586,181,388.58","-36,630,881.52",3.6848,625.249,"571,032,498.69",31.5345,11.2728,"1,134,729,695.86","6,090,816.95",11.714,6.4466,0.8605,0.8969,0.3861,32.3603,4.5764,4.7026,63.69,"215,816,953.68","4,157,213,887.27","412,797,676.66"
广州汽车集团股份有限公司,2014,0.8367,21.4749,"303,302,531.00","22,375,933,918.00",0.7255,1.3324,1.2009,0.9214,"1,104,781,789.00","20,245,434,854.00",42.0472,"3,053,592,870.00","5,957,699,577.00","36,115,226,980.00","266,048,805.00",14.4335,1.5678,"26,203,134,431.00",13.6468,5.5277,"18,958,992,801.00","784,427,567.00",9.0203,8.0729,2.952,0.6717,0.3726,12.7348,18.8679,7.8361,57.58,"3,490,621,790.00","62,318,361,411.00","2,927,498,481.00"
上海联明机械股份有限公司,2014,1.9821,7.2383,"2,617,573.67","527,836,432.84",0.2915,2.1451,1.3656,0.7246,"53,117,143.76","154,263,655.43",22.5698,"88,280,996.29","11,815,649.44","569,766,713.52","2,585,215.86",2.0316,15.4214,"166,079,304.87",16.7251,14.9755,"395,260,004.82","2,716,021.55",11.6324,4.1619,4.3118,1.5503,0.8699,15.1501,30.3326,54.0435,52.5,"71,435,591.58","735,846,018.39","66,277,267.23"
华域汽车系统股份有限公司,2014,2.1082,6.5739,"80,520,444.52","73,972,592,347.33",1.2177,1.2902,1.1506,0.6369,"6,094,069,740.34","28,520,121,701.54",54.9072,"6,981,941,386.87","6,204,070,050.93","28,517,381,794.00","48,013,356.21",20.8031,19.3659,"34,724,191,752.47",9.4386,11.9646,"62,556,989,488.41","216,158,708.19",18.8652,16.0679,8.3973,3.1254,1.259,8.8895,6.0469,15.5604,60.1,"1,674,000,396.21","63,241,573,546.47","6,195,514,212.40"
东风汽车股份有限公司,2014,1.3146,22.0809,"-48,399,702.48","17,471,251,823.09",1.4568,1.1845,1.0274,0.8737,"-328,339,341.10","10,964,663,014.73",59.2964,"196,325,740.69","562,110,695.51","7,912,478,967.50","-38,544,000.70",8.449,-5.3139,"11,526,773,710.24",1.1237,0.7963,"15,005,195,612.46","338,332,529.70",2.3081,8.6515,7.3557,2.6773,0.8817,1.0201,-9.5021,-3.7272,60.1,"697,719,376.43","19,439,252,677.74","176,244,343.41"
华懋(厦门)新材料科技股份有限公司,2014,0.9438,4.0208,"4,337.12","531,122,158.06",0.2154,4.3314,4.036,2.3972,"150,090,270.77","186,170,081.48",17.7245,"138,518,269.53","12,567,082.51","922,518,784.79","-215,241.31",1.3439,38.237,"198,737,163.99",26.0803,16.1516,"327,512,687.19","3,836,974.96",12.8459,6.3005,1.3964,1.8096,0.6203,30.7028,33.9852,89.6247,60.375,"27,328,415.60","1,121,255,948.78","118,505,866.10"
江苏奥力威传感高科股份有限公司,2014,1.8112,6.9918,"-59,488.07","461,547,375.74",0.3459,3.2028,2.339,1.1266,"52,002,833.65","86,321,887.90",25.6976,"85,511,352.43","8,116,247.38","273,059,978.79","-310,028.62",2.9833,194.1442,"94,438,135.28",18.5271,25.175,"332,124,845.00","2,532,878.53",26.1392,4.5992,2.8029,5.5204,1.3638,19.4388,16.9794,18.7871,,"8,098,110.16","367,498,114.07","72,735,514.04"
长城汽车股份有限公司,2014,1.8872,90.2908,"-129,380,918.13","62,590,772,604.67",0.8302,1.3507,1.218,1.023,"6,095,784,407.40","26,144,697,042.57",45.361,"9,640,075,628.40","1,682,108,979.65","33,518,446,101.23","-85,681,420.13",4.7877,493.1628,"27,826,806,022.22",15.3997,16.7694,"45,251,761,068.39","2,281,607,010.79",24.0391,14.5171,7.2136,2.6297,1.0987,15.7579,10.2255,16.6153,56.04,"2,812,510,619.35","61,345,252,123.45","8,041,196,445.17"
哈尔滨东安汽车动力股份有限公司,2014,0.7558,2.3419,"7,441,002.32","743,204,362.45",0.6606,1.1288,0.9959,0.6659,"-87,493,641.91","818,236,939.31",39.7798,"32,430,345.27","321,174,987.26","1,724,886,651.25","6,897,768.82",15.6972,-9.5274,"1,139,411,926.57",4.3636,1.3655,"699,013,383.73","2,156,380.11",1.8801,7.6551,6.1857,0.3918,0.258,3.626,-13.1233,-1.0971,54.51,"6,126,200.00","2,864,298,577.82","32,430,345.27"
浙江万安科技股份有限公司,2014,1.1728,5.5556,"22,054,826.85","1,322,290,056.21",1.3967,1.0879,0.8034,0.5529,"84,310,651.81","1,035,345,055.52",58.2764,"91,702,618.13","34,339,119.12","765,850,754.72","21,690,409.02",4.4466,3.1973,"1,069,684,174.64",6.9351,6.1961,"987,469,986.71","5,009,542.48",10.1413,3.567,21.0516,1.8819,0.7225,6.1192,3.0472,0.5977,53.18,"147,291,839.94","1,835,534,929.36","74,930,709.42"
一汽轿车股份有限公司,2014,2.9817,587.1948,"107,269,501.89","33,857,241,557.93",1.4047,0.9648,0.6057,0.5832,"291,061,292.73","11,700,973,278.23",58.4147,"68,735,947.30","516,397,485.35","8,697,515,316.90","76,020,725.18",5.6201,3.0436,"12,217,370,763.58",0.203,0.6895,"26,604,916,204.73","1,668,770,726.74",1.7323,7.7932,,3.5125,1.6127,0.3679,14.093,-0.8128,53.03,"1,210,168,748.59","20,914,886,080.48","118,850,001.67"
重庆蓝黛动力传动机械股份有限公司,2014,1.5556,3.9526,"21,696,358.24","780,694,115.02",0.9576,1.4775,1.0718,0.3449,"-11,979,213.48","385,811,674.98",48.9179,"98,013,390.99","184,302,208.34","595,336,498.29","16,943,079.99",24.2924,-0.6851,"570,113,883.32",12.5546,10.5727,"594,284,587.79","3,967,416.08",14.1768,3.6835,6.1053,1.3335,0.718,12.3046,19.1201,15.4889,,"87,886,804.62","1,165,450,381.61","83,659,471.81"
浙江世宝股份有限公司,2014,0.7686,2.6724,"18,628,701.30","811,241,906.13",0.4569,2.2969,1.9713,1.4019,"88,725,582.80","620,885,331.84",31.3629,"42,157,890.98","38,071,478.63","1,442,111,077.73","15,714,459.92",2.61,5.4434,"658,956,810.47",5.1967,3.3891,"593,984,877.42","4,414,843.67",3.0532,3.1013,1.6401,1.2439,0.4751,4.764,20.2559,59.8797,52.36,"123,778,255.54","2,101,067,888.20","36,478,310.91"
江苏云意电气股份有限公司,2014,0.498,3.5203,"-10,490,930.81","430,698,947.64",0.1578,6.1193,5.2344,2.5171,"66,144,733.79","141,202,800.53",13.6287,"93,341,500.24","23,158,000.00","1,041,632,751.68","-10,747,904.90",2.377,"10,583.16","164,360,800.53",21.6721,7.0968,"298,191,990.81","2,370,623.32",8.6445,2.6366,0.5918,1.4408,0.3701,23.3623,-0.777,7.5199,52.13,"11,339,271.07","1,205,993,552.21","81,167,069.46"
万向钱潮股份有限公司,2014,1.4492,5.7622,"176,677,382.46","9,828,875,656.78",1.7309,1.3514,1.0607,0.7197,"1,358,313,611.06","5,801,209,995.22",63.3816,"887,922,933.47","1,743,206,981.34","4,358,743,019.51","172,835,886.00",30.4581,6.4366,"7,544,416,976.56",9.0338,9.801,"7,646,463,389.46","45,268,117.86",17.7586,4.6201,5.5285,2.4325,0.9082,8.6765,6.1186,22.1753,51.53,"184,107,759.69","11,903,159,996.07","782,254,920.13"
上海北特科技股份有限公司,2014,1.4667,4.8992,"21,525,243.28","634,446,370.19",1.0422,1.1803,0.8799,0.3512,"157,949,428.07","421,359,506.29",51.0328,"54,383,906.77","51,439,207.99","453,661,844.35","20,714,560.99",10.3905,7.4099,"472,798,714.28",8.5719,9.4277,"490,552,357.89","1,944,523.62",9.9391,4.1752,24.6731,1.743,0.7965,7.8256,19.456,38.9644,52.82,"47,974,196.17","926,460,558.63","45,429,787.09"
常州腾龙汽车零部件股份有限公司,2014,1.4684,4.2056,"8,417,513.51","552,441,384.52",0.6285,1.8293,1.3018,0.6421,"113,913,998.14","223,558,860.26",38.5953,"112,981,854.38","769,438.61","356,903,745.44","3,936,953.38",0.2216,25.0243,"224,328,298.87",20.4514,21.7042,"356,792,925.11","3,509,599.05",25.7762,3.5444,3.4337,3.4,1.0255,21.0842,23.1752,17.148,68,"32,123,139.46","581,232,044.31","91,553,492.50"
扬州亚星客车股份有限公司,2014,0.9167,1.4964,"23,271,208.03","1,473,146,585.57",16.8959,1.0896,0.9843,0.2075,"-303,427,095.51","1,659,772,688.36",94.4121,"-144,768,832.98","384,830,000.00","121,011,863.51","20,754,355.29",89.5221,-11.517,"2,044,602,688.36",-9.8272,-6.2207,"1,358,849,603.97","2,811,599.15",-321.7854,7.3293,35.6976,3.8103,0.7389,-9.1899,21.9274,18.8903,51,"49,782,195.34","2,165,614,551.87","-144,768,832.98"
