公司中文名称,年份,"流动资产周转率
[报告期] 2011年报
[单位] 次","应收账款周转率
[报告期] 2011年报
[单位] 次","财务费用
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","产权比率
[报告期] 2011年报","流动比率
[报告期] 2011年报","速动比率
[报告期] 2011年报","现金比率
[报告期] 2011年报","经营活动现金净流量(TTM)
[报告期] 2011年报
[单位] 元","流动负债合计
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2011年报
[单位] %","利润总额(TTM)
[报告期] 2011年报
[单位] 元","非流动负债合计
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2011年报
[单位] 元","长期资本负债率
[报告期] 2011年报
[单位] %","现金流量利息保障倍数
[报告期] 2011年报","负债合计
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2011年报
[单位] %","总资产报酬率ROA
[报告期] 2011年报
[单位] %","主营业务成本
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2011年报
[单位] %","存货周转率
[报告期] 2011年报
[单位] 次","营运资本周转率
[报告期] 2011年报
[单位] 次","非流动资产周转率
[报告期] 2011年报
[单位] 次","总资产周转率
[报告期] 2011年报
[单位] 次","成本费用利润率
[报告期] 2011年报
[单位] %","营业收入(同比增长率)
[报告期] 2011年报
[单位] %","总资产(同比增长率)
[报告期] 2011年报
[单位] %","大股东持股比例
[日期] 2012-03-01
[大股东排名] 第1名
[单位] 1%","无形资产
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2011年报
[单位] 元"
长春一汽富维汽车零部件股份有限公司,2011,4.4002,16.7415,"8,778,914.91","6,981,418,658.70",0.407,1.5088,1.0736,0.6148,"197,012,137.52","1,163,302,266.16",28.9283,"522,942,650.94","30,023,279.66","2,931,782,161.18","7,103,527.65",1.1635,19.8608,"1,193,325,545.82",7.4905,13.7568,"6,525,105,628.49","17,187,476.03",16.7856,13.2565,13.7188,3.0804,1.8119,7.4838,12.9222,15.1985,20.14,"35,324,929.86","4,125,107,707.00","510,204,216.10"
宁波均胜电子股份有限公司,2011,1.8742,4.0477,"16,882,727.03","1,462,179,589.40",1.0512,1.1536,0.9151,0.2908,"209,230,752.75","676,289,420.64",51.2491,"213,916,639.38","25,267,772.15","667,358,315.46","11,667,152.64",4.2776,17.2279,"701,557,192.79",14.63,16.479,"1,161,743,645.32","5,366,214.20",26.8194,7.2016,,,1.0681,14.1889,29.9585,21.7538,54.39,"64,989,581.95","1,368,915,508.25","176,888,123.51"
安徽江淮汽车集团股份有限公司,2011,4.0203,104.6016,"-86,448,073.71","30,470,833,702.69",1.5047,0.8589,0.6765,0.5781,"-728,444,032.47","7,915,285,440.50",60.0757,"706,189,263.40","937,491,553.08","5,883,262,765.59","-61,898,244.52",14.0763,-15.9792,"8,852,776,993.58",2.3174,4.2569,"26,438,085,821.00","724,932,534.22",10.793,15.3505,,4.0335,2.0134,2.1399,2.5803,-5.1382,34.76,"804,267,719.55","14,736,039,759.17","624,935,979.54"
合肥常青机械股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津一汽夏利汽车股份有限公司,2011,3.1726,240.8098,"74,873,750.45","9,953,740,483.53",1.4866,0.6013,0.4443,0.3328,"-807,405,077.90","4,772,965,382.50",59.7846,"125,385,701.93","723,714,430.23","3,697,464,414.96","69,284,072.92",16.4842,-9.2821,"5,496,679,812.73",1.2597,2.1306,"9,504,098,672.43","201,585,217.02",2.983,12.3632,,1.6591,1.0894,1.0378,0.6319,1.2648,47.73,"310,259,495.33","9,194,144,227.69","112,708,290.56"
宁波圣龙汽车动力系统股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北汽福田汽车股份有限公司,2011,3.5062,44.0125,"173,214,756.63","51,645,734,937.85",2.0929,0.9744,0.5594,0.3395,"-524,971,443.63","14,167,743,631.29",67.6684,"1,342,252,534.40","4,861,590,786.71","9,092,119,890.16","147,191,442.16",35.4638,-1.9644,"19,029,334,418.00",2.599,5.6458,"46,952,853,924.82","185,267,228.52",13.0263,7.4944,47.656,4.4325,1.9577,2.2872,-3.4516,14.1225,32.76,"2,792,825,691.24","28,121,454,308.16","1,152,389,085.33"
郑州宇通客车股份有限公司,2011,3.3507,11.7907,"9,264,794.95","16,931,925,945.07",1.3549,1.3117,1.0432,0.321,"1,446,257,945.83","4,176,674,500.69",57.5352,"1,353,324,479.74","345,631,658.68","3,337,764,988.79","-10,995,042.30",9.3952,459.2836,"4,522,306,159.37",7.9927,18.3164,"13,850,380,881.74","82,419,950.22",35.444,11.8029,17.7156,7.4416,2.3104,7.6351,24.3585,9.782,33,"492,652,528.76","7,860,071,148.16","1,182,380,359.94"
上海汽车集团股份有限公司,2011,2.5822,56.0544,"42,775,595.66","433,095,484,273.94",1.3936,1.1767,0.9967,0.6957,"20,209,343,887.11","162,512,802,241.57",58.2227,"42,028,162,786.89","23,004,061,912.76","133,116,316,840.74","30,035,004.78",18.3495,26.6602,"185,516,864,154.33",9.666,15.3644,"351,870,300,190.34","11,054,303,145.06",19.7552,14.8409,20.7065,4.1272,1.5884,8.8833,18.6617,11.7836,74.3,"8,192,067,057.29","318,633,180,995.07","34,989,631,033.19"
浙江跃岭股份有限公司,2011,2.8847,10.0381,"-172,845.07","865,580,581.82",0.7943,1.2918,0.9485,0.5097,"138,145,463.36","245,651,765.00",44.2688,"102,644,835.44","10,311,552.61","322,239,612.60","6,526,144.36",3.1007,18.4126,"255,963,317.61",11.8585,22.0314,"679,578,195.14","5,100,268.72",27.5367,8.0864,12.7622,4.4283,1.7468,11.7002,24.0818,40.0535,,"114,370,595.08","578,202,930.21","88,734,283.82"
浙江万丰奥威汽轮股份有限公司,2011,3.369,7.2631,"31,461,691.43","3,933,460,638.50",0.437,2.3006,1.8399,0.6345,"297,297,090.88","639,295,673.91",30.4124,"333,312,710.96","142,343,622.11","1,788,498,275.12","4,266,778.94",8.796,25.2578,"781,639,296.02",8.4738,16.3578,"3,287,613,156.77","15,624,850.47",15.1711,15.0168,6.5762,4.3892,1.906,8.0345,9.8158,4.7337,58.35,"112,753,424.88","2,570,137,571.14","290,405,746.23"
一汽轿车股份有限公司,2011,2.8498,394.515,"19,134,148.95","32,652,673,333.62",0.9456,1.367,1.0634,0.9394,"-559,631,805.38","7,505,937,171.27",48.6026,"190,497,679.35","404,520,877.53","8,365,340,207.11","15,732,764.81",4.6337,-11.0832,"7,910,458,048.80",0.5834,1.2148,"27,268,251,899.76","1,561,442,563.06",2.3901,12.9275,9.4386,5.9174,1.9235,0.5256,-12.6008,-7.9139,53.03,"594,516,271.41","16,275,798,255.91","163,227,293.32"
东风电子科技股份有限公司,2011,2.2864,4.5879,"19,321,938.00","2,584,544,874.94",1.3973,1.0228,0.8289,0.3553,"207,815,611.00","1,189,800,273.07",58.2868,"203,260,419.78",,"851,486,834.04","18,078,280.50",,11.0329,"1,189,800,273.07",7.8645,11.9183,"2,143,511,818.09","12,623,282.10",22.0569,11.9964,104.0435,3.5563,1.3917,7.0454,12.0467,22.0155,65,"72,511,214.96","2,041,287,107.11","173,631,429.83"
比亚迪股份有限公司,2011,2.5054,8.972,"771,296,000.00","48,826,919,000.00",1.7366,0.642,0.4444,0.2507,"5,984,526,000.00","33,370,934,000.00",63.4585,"1,727,484,000.00","8,273,322,000.00","23,980,136,000.00","687,440,000.00",28.1426,5.5873,"41,644,256,000.00",3.538,4.0728,"40,438,789,000.00","969,714,000.00",6.5546,6.158,,1.2266,0.8235,3.4328,0.7812,23.9052,24.24,"5,325,171,000.00","65,624,392,000.00","1,595,076,000.00"
海南钧达汽车饰件股份有限公司,2011,2.2855,6.7588,"5,055,615.25","614,439,244.99",1.6075,0.7544,0.4948,0.1696,"127,429,665.62","356,338,397.30",61.6493,"99,934,761.55",,"221,670,805.74",,,,"356,338,397.30",16.2644,18.1641,"428,459,125.63","4,198,517.89",33.8507,4.6307,,,1.063,14.6242,,,,"29,692,657.05","578,009,203.04","74,758,474.76"
宁波拓普集团股份有限公司,2011,2.1039,6.079,"11,028,608.76","1,691,998,602.43",0.8988,1.0491,0.6079,0.162,"215,514,768.68","766,571,274.24",47.3344,"250,450,200.78",,"852,909,611.37",,,,"766,571,274.24",14.802,16.1458,"1,251,293,156.29","6,709,682.85",24.099,3.6995,,,1.0448,14.0923,,,,"106,410,119.79","1,619,480,885.61","206,074,807.60"
江铃汽车股份有限公司,2011,2.1737,73.5215,"-167,575,796.00","17,456,998,864.00",0.5914,1.9046,1.6327,1.5068,"1,147,508,348.00","4,193,492,438.00",37.164,"2,127,250,895.00","199,241,958.00","7,427,120,333.00","-123,301,186.00",2.6527,"2,362.09","4,392,734,396.00",12.1857,17.3821,"13,143,861,295.00","513,922,378.00",25.5878,10.2019,4.9129,4.9908,1.5142,12.7563,10.7123,5.1802,41.03,"293,300,967.00","11,819,854,729.00","1,900,830,822.00"
浙江正裕工业股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波华翔电子股份有限公司,2011,1.4632,10.0181,"-3,888,668.67","3,682,431,442.24",0.4282,1.957,1.4466,1.0769,"310,197,248.75","1,300,122,291.90",29.9836,"430,913,866.67","10,860,522.17","3,061,352,820.52","-7,634,873.65",0.4022,47.0693,"1,310,982,814.07",11.7019,10.0574,"2,895,754,063.06","17,094,097.83",10.5651,4.7158,2.7641,2.1764,0.875,11.2681,10.4803,8.0943,16.26,"173,326,372.31","4,372,335,634.59","379,010,698.46"
华达汽车科技股份有限公司,2011,1.9073,8.0685,"10,722,029.44","1,249,265,096.69",1.0274,1.5431,0.8053,0.2911,"110,298,926.51","424,472,587.88",50.6759,"120,082,496.01",,"413,149,568.20",,,,"424,472,587.88",9.6123,15.6162,"1,018,389,437.49","3,885,138.91",25.0042,3.2518,,,1.4914,9.1634,,,,"22,749,754.63","837,622,156.08","103,304,541.59"
上海联明机械股份有限公司,2011,1.9603,10.0822,"3,285,685.21","324,940,954.06",0.5681,1.6386,1.0626,0.3739,"56,901,238.53","106,216,123.80",36.2288,"71,213,668.48","18,960,000.00","220,339,861.94","3,270,294.90",7.9231,16.0517,"125,176,123.80",21.9159,23.3708,"229,262,713.44","1,255,758.06",24.1222,3.8763,5.9319,2.1246,1.0196,20.9708,10.4122,18.3701,,"42,934,631.82","345,515,985.74","53,150,812.08"
华域汽车系统股份有限公司,2011,2.0666,7.3923,"-82,860,777.27","52,298,780,651.86",0.8276,1.5715,1.3573,0.8135,"4,632,871,071.16","17,453,261,612.50",45.2846,"5,943,010,393.21","1,649,992,305.54","23,081,622,030.03","-131,496,510.56",9.0577,87.3389,"19,103,253,918.04",11.3636,14.8911,"43,786,547,656.87","122,324,220.52",18.0512,12.1504,5.8723,3.8119,1.3401,11.1217,16.6668,14.863,60.1,"851,043,209.86","42,184,875,948.07","5,345,864,245.19"
长城汽车股份有限公司,2011,1.7097,59.7983,"-22,934,689.66","30,089,476,665.00",0.9466,1.3847,1.196,1.0746,"4,448,742,617.37","14,713,538,188.81",48.6296,"4,130,651,319.23","1,399,815,782.93","17,021,503,743.73","-59,330,381.47",7.718,619.9979,"16,113,353,971.74",13.7279,14.3273,"22,593,797,877.09","1,052,324,859.69",20.4707,9.2591,6.9994,2.7816,1.0589,14.016,30.9031,39.8197,56.04,"1,869,266,218.71","33,134,857,715.47","3,510,652,885.13"
江苏奥力威传感高科股份有限公司,2011,2.0234,9.4364,"1,542,896.05","314,191,764.92",0.7178,2.1536,1.5198,0.6078,"23,716,237.27","79,273,837.34",41.7852,"42,217,291.44","5,056,247.38","117,488,205.29",,4.1674,,"84,330,084.72",13.4368,24.1009,"243,515,250.45","1,166,924.13",31.3334,5.2202,3.7874,11.9505,1.7304,13.3978,22.4093,25.1024,,"1,220,333.37","201,818,290.01","36,422,291.17"
浙江今飞凯达轮毂股份有限公司,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆蓝黛动力传动机械股份有限公司,2011,2.2616,5.7501,"19,305,343.29","791,612,643.60",1.2239,1.0357,0.6539,0.2226,"56,941,333.08","337,956,486.39",55.033,"129,022,261.79","138,366,800.00","389,200,456.79",,26.2273,,"476,323,286.39",16.2987,17.1373,"587,198,429.97","2,236,276.49",28.0968,4.5508,,,0.9146,16.4287,,,,"93,597,069.49","865,523,743.18","109,352,700.54"
