公司中文名称,年份,"流动资产周转率
[报告期] 2015年报
[单位] 次","应收账款周转率
[报告期] 2015年报
[单位] 次","财务费用
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","主营业务收入
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","产权比率
[报告期] 2015年报","流动比率
[报告期] 2015年报","速动比率
[报告期] 2015年报","现金比率
[报告期] 2015年报","经营活动现金净流量(TTM)
[报告期] 2015年报
[单位] 元","流动负债合计
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","资产负债率
[报告期] 2015年报
[单位] %","利润总额(TTM)
[报告期] 2015年报
[单位] 元","非流动负债合计
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","所有者权益合计
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","利息支出(TTM)
[报告期] 2015年报
[单位] 元","长期资本负债率
[报告期] 2015年报
[单位] %","现金流量利息保障倍数
[报告期] 2015年报","负债合计
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","利润总额/营业收入(TTM)
[报告期] 2015年报
[单位] %","总资产报酬率ROA
[报告期] 2015年报
[单位] %","主营业务成本
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","税金及附加
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","净资产收益率ROE(摊薄)
[报告期] 2015年报
[单位] %","存货周转率
[报告期] 2015年报
[单位] 次","营运资本周转率
[报告期] 2015年报
[单位] 次","非流动资产周转率
[报告期] 2015年报
[单位] 次","总资产周转率
[报告期] 2015年报
[单位] 次","成本费用利润率
[报告期] 2015年报
[单位] %","营业收入(同比增长率)
[报告期] 2015年报
[单位] %","总资产(同比增长率)
[报告期] 2015年报
[单位] %","大股东持股比例
[日期] 2015-12-31
[大股东排名] 第1名
[单位] %","无形资产
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","资产总计
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","净利润(TTM)
[报告期] 2015年报
[单位] 元"
宁波拓普集团股份有限公司,2015,1.5562,5.0312,"-9,476,406.46","3,007,211,917.95",0.2984,2.7104,2.002,0.6115,"238,097,456.35","949,180,528.86",22.9837,"476,009,672.39",,"3,180,611,237.27","52,348.03",,79.4273,"949,180,528.86",15.8289,14.2816,"2,140,896,419.87","16,509,349.74",12.9452,3.5601,3.2011,2.1465,0.9021,16.0084,9.8781,62.7838,73.7,"173,061,363.92","4,129,791,766.13","409,719,007.99"
重庆秦安机电股份有限公司,2015,1.497,5.922,"16,924,903.25","1,174,782,620.04",0.5815,1.3542,0.7443,0.2432,"221,802,962.64","618,371,060.61",36.7699,"290,626,012.53","217,550,000.00","1,437,466,056.84","16,212,695.85",13.1449,12.2299,"835,921,060.61",24.7387,14.8664,"776,947,960.75","2,405,287.40",17.1748,2.3585,28.9105,0.9184,0.5692,27.9873,13.7086,22.5833,91.1528,"33,397,758.14","2,273,387,117.45","246,881,857.83"
桂林福达股份有限公司,2015,0.6461,2.7317,"60,527,346.33","933,195,576.92",0.7705,1.3668,1.1778,0.7029,"163,998,302.55","1,292,055,237.65",43.5197,"52,415,206.03","267,953,708.23","2,024,596,659.11","59,419,745.89",11.688,2.5918,"1,560,008,945.88",5.6167,3.4304,"705,889,379.93","3,267,662.11",2.4836,2.6234,14.132,0.5139,0.2863,5.4954,-22.3344,22.111,68.51,"121,550,465.58","3,584,605,604.99","50,283,187.13"
上海汽车集团股份有限公司,2015,2.6449,26.4399,"-231,192,097.17","661,373,929,792.65",1.4257,1.0476,0.9031,0.4276,"25,992,574,916.30","257,667,822,183.89",58.7755,"45,809,676,486.26","43,045,582,935.11","210,917,285,720.21","-373,277,329.07",19.7299,33.5216,"300,713,405,119.00",6.8327,9.8082,"585,832,883,216.26","5,598,402,254.42",17.0125,15.4148,27.158,3.1962,1.4473,6.209,5.5307,23.3229,74.3,"8,360,918,797.39","511,630,690,839.21","40,073,969,223.24"
常州腾龙汽车零部件股份有限公司,2015,1.1124,4.6071,"702,467.14","624,525,819.61",0.2045,4.4595,3.727,1.2598,"90,022,394.36","160,078,558.98",16.9804,"115,658,180.96","1,448,274.14","789,727,727.02","-93,363.46",0.1859,80.0831,"161,526,833.12",18.5194,15.082,"430,890,946.53","4,199,503.56",11.9409,3.6645,1.6898,3.0489,0.815,18.5435,13.0483,63.6618,51,"32,323,146.66","951,254,560.14","94,710,455.22"
东风电子科技股份有限公司,2015,1.8858,4.6698,"16,243,086.68","4,824,927,064.33",1.8095,0.9329,0.7794,0.3621,"562,352,006.74","2,701,569,826.72",64.4068,"314,312,361.54","69,964,690.62","1,531,638,001.27","13,595,488.51",6.0879,22.6952,"2,771,534,517.34",6.5143,7.6735,"3,984,750,993.38","24,368,887.92",14.1905,9.7851,,2.8139,1.1291,6.0812,-1.5645,1.4112,65,"165,157,699.53","4,303,172,518.61","280,927,840.58"
中国重汽集团济南卡车股份有限公司,2015,1.3396,4.7021,"178,319,823.00","19,363,657,640.88",2.3013,1.3583,1.1616,0.7137,"240,045,641.78","10,819,476,992.20",69.709,"438,688,759.16","1,004,801,852.15","5,138,062,036.57","170,623,717.55",18.0641,1.1466,"11,824,278,844.35",2.2655,3.6206,"17,379,422,158.54","63,656,207.00",6.1111,7.3843,5.1999,8.1559,1.1506,1.852,-18.8649,1.5976,63.78,"387,072,798.96","16,962,340,880.92","347,836,943.65"
中国汽车工程研究院股份有限公司,2015,0.5008,4.437,"-39,733,505.40","1,202,892,485.60",0.1629,5.6882,5.2353,3.6428,"363,353,655.90","431,967,970.75",14.0118,"366,746,360.91","191,789,056.99","3,827,911,813.08","-39,872,646.68",4.8337,"2,638.22","623,757,027.74",30.4887,7.5939,"704,231,538.73","8,266,370.79",8.2332,3.7945,0.6112,0.6323,0.2795,35.8121,-23.3285,7.083,63.69,"218,329,522.33","4,451,668,840.82","305,159,082.30"
力帆实业(集团)股份有限公司,2015,1.0187,4.1528,"645,250,737.88","12,411,109,766.16",2.6658,0.7881,0.6604,0.3553,"-1,458,047,918.26","16,881,064,440.58",72.7207,"367,672,271.49","1,503,283,896.13","6,896,402,615.06","264,887,214.88",18.0389,-2.9031,"18,384,348,336.71",2.9624,2.743,"10,147,120,360.72","124,732,400.49",5.1816,5.0468,,1.141,0.5382,2.8172,8.7097,21.2998,49.4,"888,372,152.53","25,280,750,951.77","343,081,152.90"
宁波均胜电子股份有限公司,2015,1.6539,7.577,"115,075,072.17","8,082,534,215.33",1.8693,1.2532,1.0438,0.6343,"585,155,500.25","5,573,827,282.11",65.148,"558,945,346.77","1,859,162,151.95","3,976,401,649.91","110,802,206.35",32.8858,4.9899,"7,432,989,434.06",6.9155,7.5812,"6,332,880,433.03","9,789,715.93",10.5386,6.1934,10.2433,2.0475,0.9149,5.4818,14.207,82.2818,45.59,"847,899,311.38","11,409,391,083.97","417,177,076.14"
华懋(厦门)新材料科技股份有限公司,2015,0.782,3.727,"-7,398,561.97","676,168,709.22",0.1826,4.6901,4.353,3.0677,"126,892,735.56","196,770,379.57",15.4383,"204,423,376.08","78,860.76","1,078,220,043.78","-10,759,549.12",0.0073,105.3101,"196,849,240.33",30.2326,16.1634,"396,549,758.71","5,477,421.76",16.2,6.5369,1.0045,2.0272,0.5643,37.3838,27.3095,13.718,59.27,"26,600,500.81","1,275,069,284.11","174,671,806.73"
华域汽车系统股份有限公司,2015,2.1818,5.9697,"-2,279,436.24","91,120,204,530.78",1.3373,1.2263,1.0835,0.4849,"5,860,101,553.99","38,106,850,464.17",57.2164,"7,726,752,720.03","6,865,035,439.89","33,627,803,819.79","25,198,064.76",20.1129,16.8416,"44,971,885,904.06",8.4797,10.9305,"78,080,909,983.45","279,171,701.65",17.5425,16.5663,10.7831,3.1252,1.2848,8.0292,23.181,24.2848,60.1,"2,020,577,119.21","78,599,689,723.85","6,928,652,332.38"
